"los.4w","Freq"
"-0.0402777777777778",1
"0.000694444444444444",2
"0.00138888888888889",1
"0.00416666666666667",1
"0.00972222222222222",1
"0.0125",2
"0.0138888888888889",2
"0.0173611111111111",1
"0.0215277777777778",2
"0.0340277777777778",1
"0.0361111111111111",1
"0.0486111111111111",2
"0.0527777777777778",1
"0.0534722222222222",1
"0.0548611111111111",1
"0.0666666666666667",1
"0.0861111111111111",1
"0.120138888888889",1
"0.149305555555556",1
"0.165972222222222",2
"0.166666666666667",1
"0.2",1
"0.236805555555556",1
"0.25625",1
"0.279166666666667",1
"0.320833333333333",1
"0.327777777777778",1
"0.447916666666667",1
"0.451388888888889",1
"0.568055555555556",1
"0.577777777777778",1
"0.606944444444444",1
"0.629861111111111",1
"0.642361111111111",1
"0.704166666666667",1
"0.741666666666667",1
"0.747222222222222",1
"0.755555555555556",1
"0.788194444444444",1
"0.820833333333333",1
"0.841666666666667",1
"0.85",1
"0.863194444444444",1
"0.880555555555556",1
"0.920138888888889",1
"0.921527777777778",1
"0.973611111111111",1
"0.997916666666667",1
"1.01319444444444",1
"1.01597222222222",1
"1.03888888888889",1
"1.05833333333333",1
"1.075",1
"1.08402777777778",1
"1.09722222222222",1
"1.10138888888889",1
"1.10208333333333",1
"1.13888888888889",1
"1.14305555555556",1
"1.14791666666667",1
"1.15763888888889",1
"1.19652777777778",1
"1.22013888888889",1
"1.23055555555556",1
"1.27222222222222",1
"1.31111111111111",1
"1.31319444444444",1
"1.34652777777778",1
"1.34930555555556",1
"1.40277777777778",1
"1.43333333333333",1
"1.5375",1
"1.57222222222222",1
"1.57847222222222",1
"1.60972222222222",1
"1.66597222222222",1
"1.67430555555556",1
"1.69722222222222",1
"1.70694444444444",1
"1.70833333333333",1
"1.74236111111111",1
"1.76944444444444",1
"1.77847222222222",1
"1.78541666666667",1
"1.78888888888889",1
"1.79444444444444",1
"1.79513888888889",1
"1.79583333333333",1
"1.79930555555556",1
"1.81458333333333",1
"1.825",1
"1.84861111111111",1
"1.86458333333333",1
"1.875",1
"1.89583333333333",1
"1.93125",1
"1.94166666666667",1
"1.94652777777778",1
"1.95208333333333",1
"1.95555555555556",1
"1.975",1
"1.98958333333333",1
"1.99236111111111",1
"1.99652777777778",1
"2.00416666666667",1
"2.00694444444444",1
"2.02013888888889",2
"2.02083333333333",1
"2.02361111111111",1
"2.02777777777778",2
"2.02986111111111",1
"2.03125",1
"2.03194444444444",1
"2.03333333333333",1
"2.03611111111111",1
"2.03680555555556",1
"2.06666666666667",1
"2.07083333333333",1
"2.075",1
"2.08125",1
"2.08194444444444",1
"2.10277777777778",1
"2.11319444444444",1
"2.12083333333333",1
"2.15486111111111",1
"2.17777777777778",1
"2.20069444444444",1
"2.20625",1
"2.22430555555556",1
"2.28680555555556",1
"2.33819444444444",1
"2.47638888888889",1
"2.49652777777778",1
"2.55069444444444",1
"2.57847222222222",1
"2.60625",1
"2.67013888888889",1
"2.71875",1
"2.74375",1
"2.74583333333333",1
"2.77152777777778",1
"2.775",1
"2.77986111111111",1
"2.80486111111111",1
"2.81527777777778",1
"2.84722222222222",1
"2.85763888888889",1
"2.85833333333333",1
"2.86388888888889",1
"2.87013888888889",1
"2.89097222222222",1
"2.90972222222222",1
"2.91527777777778",1
"2.91805555555556",1
"2.92569444444444",1
"2.92708333333333",1
"2.94444444444444",1
"2.95138888888889",1
"2.95972222222222",1
"2.97152777777778",1
"2.97708333333333",1
"2.98611111111111",1
"2.99930555555556",1
"3.00277777777778",1
"3.01527777777778",1
"3.02291666666667",1
"3.04444444444444",1
"3.05347222222222",1
"3.05694444444444",1
"3.11597222222222",1
"3.13819444444444",1
"3.1625",1
"3.16666666666667",1
"3.19722222222222",1
"3.25208333333333",1
"3.30069444444444",1
"3.42986111111111",1
"3.48680555555556",1
"3.5625",1
"3.69444444444444",1
"3.70138888888889",1
"3.76319444444444",1
"3.76458333333333",1
"3.78472222222222",1
"3.79444444444444",2
"3.81666666666667",1
"3.82222222222222",2
"3.84027777777778",1
"3.84861111111111",1
"3.85763888888889",2
"3.86736111111111",1
"3.89583333333333",1
"3.89930555555556",1
"3.90416666666667",1
"3.90763888888889",1
"3.93611111111111",1
"3.94305555555556",1
"3.94513888888889",1
"3.95486111111111",1
"3.95763888888889",2
"3.97013888888889",1
"3.97916666666667",1
"3.98125",1
"3.98472222222222",1
"3.98680555555556",1
"3.99236111111111",1
"3.99375",1
"3.99583333333333",1
"4.00694444444444",1
"4.02569444444444",1
"4.04375",1
"4.05486111111111",1
"4.08888888888889",1
"4.11180555555556",1
"4.11666666666667",1
"4.11805555555556",1
"4.13125",1
"4.16597222222222",1
"4.16666666666667",1
"4.23263888888889",1
"4.25694444444444",1
"4.30069444444444",1
"4.30277777777778",1
"4.31805555555556",1
"4.33819444444444",1
"4.34375",1
"4.37708333333333",1
"4.49305555555556",1
"4.50833333333333",1
"4.52847222222222",1
"4.57986111111111",1
"4.70347222222222",1
"4.72013888888889",1
"4.72083333333333",1
"4.72361111111111",1
"4.73611111111111",1
"4.76388888888889",1
"4.78541666666667",1
"4.7875",1
"4.79305555555556",1
"4.79513888888889",1
"4.8",1
"4.84027777777778",1
"4.85277777777778",1
"4.87152777777778",1
"4.87291666666667",1
"4.88472222222222",1
"4.88541666666667",1
"4.88611111111111",1
"4.89861111111111",1
"4.91597222222222",1
"4.95972222222222",1
"4.96388888888889",1
"4.96736111111111",1
"5.00208333333333",1
"5.00486111111111",1
"5.00902777777778",1
"5.02916666666667",1
"5.06319444444444",1
"5.07638888888889",1
"5.07916666666667",1
"5.07986111111111",1
"5.1",1
"5.10555555555556",1
"5.13611111111111",1
"5.18472222222222",1
"5.25347222222222",1
"5.26666666666667",1
"5.28402777777778",1
"5.33888888888889",1
"5.58611111111111",1
"5.59236111111111",1
"5.62291666666667",1
"5.64305555555556",1
"5.73333333333333",1
"5.74027777777778",1
"5.77361111111111",1
"5.78958333333333",1
"5.79583333333333",1
"5.80972222222222",1
"5.82638888888889",2
"5.84166666666667",1
