"los.6w","Freq"
"0",78
"1",604
"2",1161
"3",1147
"4",535
"5",314
"6",226
"7",165
"8",133
"9",94
"10",91
"11",80
"12",64
"13",50
"14",53
"15",45
"16",41
"17",39
"18",33
"19",38
"20",28
"21",35
"22",24
"23",25
"24",25
"25",30
"26",27
"27",33
"28",19
"29",18
"30",16
"31",11
"32",17
"33",13
"34",7
"35",10
"36",15
"37",6
"38",15
"39",8
"40",11
"41",5
"42",8
"43",13
"44",8
"45",11
"46",9
"47",5
"48",4
"49",8
"50",6
"51",6
"52",10
"53",1
"54",10
"55",2
"56",6
"57",7
"58",6
"59",5
"60",5
"61",4
"62",5
"63",4
"64",5
"65",4
"66",4
"67",4
"68",4
"69",3
"70",3
"71",1
"72",2
"73",1
"74",2
"75",3
"76",3
"77",3
"78",1
"79",3
"80",4
"81",2
"82",1
"83",1
"84",1
"85",1
"86",2
"87",2
"88",3
"89",2
"90",2
"91",3
"92",1
"94",2
"97",1
"99",1
"100",3
"104",1
"105",1
"107",2
"111",1
"112",1
"113",1
"119",1
"120",1
"121",1
"123",1
"124",1
"129",1
"132",1
"140",1
"142",1
"145",1
"151",1
"159",1
